playerName,gameName,gameType,minPlayerCount,maxPlayerCount,minPlayerAge
Bill,Dune,RESOURCE_CONTROL,2,6,14
Bill,Ticket-to-Ride,AREA_CONTROL,2,5,8
Bill,Terraforming-Mars,RESOURCE_CONTROL,1,5,12
Bill,Horrified,COOPERATIVE,1,5,10
Bob,Castle-Panic,COOPERATIVE,1,6,10
Bob,Mysterium,COOPERATIVE,2,7,10
Bob,Pandemic-Legacy,COOPERATIVE,2,4,13
Bob,Pandemic-Rapid-Response,COOPERATIVE,2,4,8
Carrie,Villainous,ASYMMETRICAL,2,6,10
Carrie,Scythe,AREA_CONTROL,1,5,14
Carrie,Wingspan,RESOURCE_CONTROL,1,5,10
Carrie,Catan,RESOURCE_CONTROL,3,4,10
Jane,Werewolf,HIDDEN_ROLES,8,24,8
Jane,Werewords,HIDDEN_ROLES,4,10,8
Jane,Azul,PATTERN_BUILDING,2,4,8
Jane,Codenames,DEDUCTION,2,8,14
Joe,Powergrid,RESOURCE_CONTROL,2,6,12
Joe,Dominion,DECK_BUILDER,2,4,13
Joe,Clank,DECK_BUILDER,2,4,12
Joe,Runewars,AREA_CONTROL,2,4,14
Joseph,Catan:Expansion,RESOURCE_CONTROL,5,6,10
Joseph,Brass: Birmingham,RESOURCE_CONTROL,2,4,14
Joseph,King-of-Tokyo,DICE_ROLLING,2,6,8
Joseph,Dead-of-Winter,DICE_ROLLING,2,5,13
Rob,Ticket-to-Ride:Europe,AREA_CONTROL,2,5,8
Rob,Spirit-Island,AREA_CONTROL,1,4,13
Rob,Scotland-Yard,HIDDEN_ROLES,3,6,10
Rob,Dinosaur-Island,WORKER_PLACEMENT,1,4,8
Tim,Horrified:American-Monsters,COOPERATIVE,1,5,10
Tim,Bang:The-Dice-Game,ASYMMETRICAL,3,8,8
Tim,Secret-Sith,HIDDEN_ROLES,5,10,13
Tim,Rising-Sun,AREA_CONTROL,3,5,14
